OpenROAD v2.0-17941-g7fb347f37 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 12 thread(s).
clock_tree_synthesis -sink_clustering_enable -balance_levels
[INFO CTS-0050] Root buffer is sky130_fd_sc_hd__clkbuf_16.
[INFO CTS-0051] Sink buffer is sky130_fd_sc_hd__clkbuf_16.
[INFO CTS-0052] The following clock buffers will be used for CTS:
                    sky130_fd_sc_hd__clkbuf_16
[INFO CTS-0049] Characterization buffer is sky130_fd_sc_hd__clkbuf_16.
[INFO CTS-0007] Net "clk" found for clock "core_clock".
[INFO CTS-0010]  Clock net "clk" has 2787 sinks.
[INFO CTS-0008] TritonCTS found 1 clock nets.
[INFO CTS-0097] Characterization used 1 buffer(s) types.
[INFO CTS-0200] 0 placement blockages have been identified.
[INFO CTS-0201] 0 placed hard macros will be treated like blockages.
[INFO CTS-0027] Generating H-Tree topology for net clk.
[INFO CTS-0028]  Total number of sinks: 2787.
[INFO CTS-0090]  Sinks will be clustered based on buffer max cap.
[INFO CTS-0030]  Number of static layers: 0.
[INFO CTS-0020]  Wire segment unit: 13600  dbu (13 um).
[INFO CTS-0206] Best clustering solution was found from clustering size of 30 and clustering diameter of 50.
[INFO CTS-0019]  Total number of sinks after clustering: 317.
[INFO CTS-0024]  Normalized sink region: [(4.30868, 0.923693), (58.6356, 58.4994)].
[INFO CTS-0025]     Width:  54.3269.
[INFO CTS-0026]     Height: 57.5757.
 Level 1
    Direction: Vertical
    Sinks per sub-region: 159
    Sub-region size: 54.3269 X 28.7878
[INFO CTS-0034]     Segment length (rounded): 14.
 Level 2
    Direction: Horizontal
    Sinks per sub-region: 80
    Sub-region size: 27.1634 X 28.7878
[INFO CTS-0034]     Segment length (rounded): 14.
 Level 3
    Direction: Vertical
    Sinks per sub-region: 40
    Sub-region size: 27.1634 X 14.3939
[INFO CTS-0034]     Segment length (rounded): 8.
 Level 4
    Direction: Horizontal
    Sinks per sub-region: 20
    Sub-region size: 13.5817 X 14.3939
[INFO CTS-0034]     Segment length (rounded): 6.
 Level 5
    Direction: Vertical
    Sinks per sub-region: 10
    Sub-region size: 13.5817 X 7.1970
[INFO CTS-0034]     Segment length (rounded): 4.
[INFO CTS-0032]  Stop criterion found. Max number of sinks is 15.
[INFO CTS-0035]  Number of sinks covered: 317.
[INFO CTS-0018]     Created 354 clock buffers.
[INFO CTS-0012]     Minimum number of buffers in the clock path: 4.
[INFO CTS-0013]     Maximum number of buffers in the clock path: 4.
[INFO CTS-0015]     Created 354 clock nets.
[INFO CTS-0016]     Fanout distribution for the current clock = 4:2, 5:10, 6:18, 7:43, 8:68, 9:83, 10:61, 11:42, 12:13, 13:8, 14:1..
[INFO CTS-0017]     Max level of the clock tree: 5.
[INFO CTS-0098] Clock net "clk"
[INFO CTS-0099]  Sinks 3082
[INFO CTS-0100]  Leaf buffers 317
[INFO CTS-0101]  Average sink wire length 1367.87 um
[INFO CTS-0102]  Path depth 3 - 4
[INFO CTS-0207]  Leaf load cells 295
[INFO RSZ-0058] Using max wire length 2154um.
Placement Analysis
---------------------------------
total displacement       4080.1 u
average displacement        0.2 u
max displacement           15.4 u
original HPWL          757765.1 u
legalized HPWL         772109.1 u
delta HPWL                    2 %

repair_timing -verbose -setup_margin 0 -hold_margin -0.05 -repair_tns 100
[INFO RSZ-0094] Found 2067 endpoints with setup violations.
[INFO RSZ-0099] Repairing 2067 out of 2067 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |   -4.334 |    -3035.6 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
       10 |       0 |       2 |        3 |      0 |     6 |   -4.279 |    -3032.8 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
       20 |       0 |       5 |        9 |      0 |    10 |   -4.210 |    -3029.8 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
       30 |       0 |       8 |        9 |      0 |    17 |   -4.091 |    -3023.7 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
       40 |       0 |      11 |       15 |      0 |    21 |   -3.919 |    -3015.3 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
       50 |       0 |      17 |       15 |      1 |    24 |   -3.891 |    -3017.0 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
       60 |       0 |      19 |       19 |      1 |    30 |   -3.797 |    -3011.8 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
       70 |       0 |      25 |       21 |      1 |    33 |   -3.648 |    -3006.2 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
       80 |       0 |      29 |       23 |      1 |    38 |   -3.620 |    -3004.6 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
       90 |       0 |      34 |       27 |      1 |    41 |   -3.678 |    -3005.8 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      100 |       0 |      38 |       35 |      1 |    43 |   -3.811 |    -3007.6 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      110 |       0 |      40 |       40 |      1 |    49 |   -3.821 |    -3023.1 |   2067 | hash.p2_cap\[31\]$_DFF_P_/D
      120 |       0 |      45 |       45 |      1 |    52 |   -3.787 |    -3012.4 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      130 |       0 |      47 |       50 |      1 |    58 |   -3.737 |    -3009.5 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      133 |       0 |      31 |       35 |      1 |    39 |   -3.612 |    -3004.5 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      140 |       0 |      35 |       37 |      1 |    40 |   -3.617 |    -3004.4 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      150 |       0 |      42 |       43 |      1 |    40 |   -3.591 |    -3004.9 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      160 |       0 |      47 |       48 |      1 |    43 |   -3.675 |    -3003.6 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      170 |       0 |      52 |       48 |      1 |    48 |   -3.666 |    -3002.2 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      180 |       0 |      57 |       50 |      1 |    52 |   -3.583 |    -2999.9 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      190 |       0 |      63 |       56 |      1 |    53 |   -3.647 |    -2999.6 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      199 |       0 |      49 |       51 |      1 |    41 |   -3.563 |    -3003.6 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      200 |       0 |      49 |       51 |      1 |    41 |   -3.563 |    -3003.6 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      210 |       0 |      53 |       51 |      1 |    47 |   -3.563 |    -3003.3 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      220 |       0 |      58 |       54 |      1 |    51 |   -3.568 |    -3002.8 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      230 |       0 |      64 |       58 |      1 |    53 |   -3.509 |    -2997.9 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      240 |       0 |      68 |       64 |      1 |    56 |   -3.550 |    -2998.5 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      250 |       0 |      76 |       66 |      1 |    57 |   -3.498 |    -2997.3 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
      250 |       0 |      76 |       66 |      1 |    57 |   -3.498 |    -2997.3 |   2067 | hash.p3_cap\[31\]$_DFF_P_/D
